CRASH_CARRIER_ID	CRASH_ID	CARRIER_SOURCE_CODE	CRASH_CARRIER_NAME	CRASH_CARRIER_STREET	CRASH_CARRIER_CITY	CRASH_CARRIER_CITY_CODE	CRASH_CARRIER_STATE	CRASH_CARRIER_ZIP_CODE	CRASH_COLONIA	PREFIX	DOCKET_NUMBER	CRASH_CARRIER_INTERSTATE	NO_ID_FLAG	STATE_NUMBER	STATE_ISSUING_NUMBER
3780365	3780368		P & B TRANSPORTATION INC	PO BOX 1974	BISMARCK		ND	58502			302954	Y	0		
3780366	3780369		PERKINS OIL CO INC	4707 PFLAUM ROAD	MADISON		WI	53718-6721				Y	0		
3780367	3780370		GOTRANSIT	926 DEMPSEY TRAIL	OSHKOSH		WI	54902				X	0		
3780368	3780371		NORTHWEST GRAIN EQUIPMENT LLC	E16305 LINCOLN DRIVE	FALL CREEK		WI	54742-4813				N	0		
3780369	3780372		MALECEK LIVESTOCK INC	P O BOX 214	MORGAN		MN	56266-0214			373231	Y	0		
3780370	3780373		D&E TRANSPORT LLC	4141 150TH STREET NW	CLEARWATER		MN	55320			212852	Y	0		
3780371	3780374		EBY - BROWN TRANSPORTATION LLC	1415 W DIEHL RD SUITE 300	NAPERVILLE		IL	60563			441547	Y	0		
3780372	3780375		DAIRYLAND BUSES INC	3850 NORTH HOLTON STREET	MILWAUKEE		WI	53212				N	0		
3780373	3780376		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3780374	3780377		APPLETON CITY VALLEY TRANSIT	801 S WHITMAN AVE	APPLETON		WI	54914				X	0		
3780375	3780378		PODS	445 WEST OKLAHOMA AVENUE	MILWAUKEE		WI	53207			820601	Y	0		
3780376	3780379		CRST EXPEDITED INC	3930 16TH AVE S W	CEDAR RAPIDS		IA	52406			114273	Y	0		
3780377	3780380		K & S CARRIERS LLC	PO BOX 8	GREENWOOD		WI	54437			299723	Y	0		
3780378	3780381		MILWAUKEE COUNTY	1942 N 17TH ST	MILWAUKEE		WI	53205				X	0		
3780379	3780382		STIER TRUCKING LLC	809 EAST MAIN ST SUITE 102	BELLE PLAINE		MN	56011			588621	Y	0		
3780380	3780383		BELOIT CITY	100 STATE ST	BELOIT		WI	53511				X	0		
3780381	3780384		N & M EXPEDITED	630 MUTTART RD	NEENAH		WI	54956			154495	Y	0		
3780382	3780385		CITY OF MILWAUKEE	2142 W CANAL ST	MILWAUKEE		WI	53233				X	0		
3780383	3780386		PUTNIK EXPRESS	2440 S WOLF ROAD	DES PLAINES		IL	60018			687580	Y	0		
3838808	3838811		CHARLES GEORGE COMPANY	209 NASHUA ROAD	LONDONDERRY		NH	03053				Y	0		
3838809	3838812		FIRSTFLEET INC	202 HERITAGE PK DR	MURFREESBORO		TN	37129			193678	Y	0		
3838810	3838813		NORTHEAST FOODS INC	601 SOUTH CAROLINE ST	BALTIMORE		MD	21231			269554	Y	0		
3838811	3838814		GUNTHER CHARTERS INC	7443 SHIPLEY AVENUE LOT C	HANOVER		MD	21076-3109			128577	Y	0		
3838812	3838815		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3838813	3838816		RENSHAW INSULATION INC	1419 ASHTON RD	ASHTON		MD	20861-3329				Y	0		
3838814	3838817		EXQUISITE LIMOUSINE SERVICE LLC	7700 OLD BRANCH AVE G1	CLINTON		MD	20735				N	0		
3838815	3838818		WEGMANS FOOD MARKETS INC	1500 BROOKS AVE	ROCHESTER		NY	14624			152450	Y	0		
3838816	3838819		M-ONE TRUCKING LLC	3714 THE ALAMEDA	BALTIMORE		MD	21218				N	0		
3838817	3838820		GCC EQUIPMENT LLC	201 EARLS ROAD	MIDDLE RIVER		MD	21220			635795	Y	0		
3838818	3838821		SWIFT TRANSPORTATION CO OF ARIZONA LLC	2200 S 75TH AVE	PHOENIX		AZ	85043			136818	Y	0		
3838819	3838822		KNIGHT TRANSPORTATION INC	20002 NORTH 19TH AVENUE	PHOENIX		AZ	85027			227271	Y	0		
3838820	3838823		WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY	600 FIFTH STREET NW	WASHINGTON		DC	20001				N	0		
3838821	3838824		REW MATERIALS MARYLAND LLC	15720 W 108TH ST	LENEXA		KS	66219				Y	0		
3838822	3838825		PLATINUM SERVICES INC	800 GUSRYAN STREET	BALTIMORE		MD	21224			9901	Y	0		
3838823	3838826		TOMAR INC	126 TOMAR RD	KEYSER		WV	26753			160609	Y	0		
3838824	3838827		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3838825	3838828		CENTRAL WHOLESALERS LLC	13401 KONTERRA DRIVE	LAUREL		MD	20707				Y	0		
3838826	3838829		MARYLAND TRANSIT ADMINISTRATION	1515 WASHINGTON BLVD	BALTIMORE		MD	21230				X	0		
3838827	3838830		ST MARYS COUNTY COMMISSIONERS	41770 BALDRIDGE ST POB 653	LEONARDTOWN		MD	20650				X	0		
3838828	3838831		LANGLEY FARMS II LLC	3333 POLLOCK LANE	ZEPHYRHILLS		FL	33541			627073	Y	0		
3838829	3838832		BALTIMORE CITY SCHOOLS	3636-40 WOODLAND AVE	BALTIMORE		MD	21215				X	0		
3838830	3838833		JOHN W RITTER TRUCKING INC	8271 BROCK BRIDGE RD	LAUREL		MD	20724				Y	0		
3838831	3838834		MARYLAND TRANSIT ADMINISTRATION	1515 WASHINGTON BLVD	BALTIMORE		MD	21230				X	0		
3838832	3838835		CLOVERLAND GREENSPRINS DAIRY LIMITED	2701 LOCH RAVEN ROAD	BALTIMORE		MD	21218				Y	0		
3838833	3838836		SUPERIOR TRANSFER INC	56 PEBBLE DR	BALTIMORE		MD	21225-3354			144186	N	0		
3838834	3838837		MARYLAND TRANSIT ADMINISTRAION	1515 WASHINGTON BLVD	BALTIMORE		MD	21230				X	0		
3838835	3838838		UNKNOWN	UNKNOWN	UNKNOWN		UK	99999				N	1		
3838836	3838839		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3838837	3838840		BALTIMORE FLEET SERVICE LLC	510 HAMLEN RD	GLEN BURNIE		MD	21061-3925				Y	0		
3838838	3838841		RTS HOLDINGS LLC	ONE KELLAWAY DRIVE	RANDOLPH		MA	02368			810939	Y	0		
3838839	3838842		BOARD OF ED FREDERICK COUNTY	191 S EAST ST	FREDERICK		MD	21701				X	0		
3838840	3838843		BENNETT CONSTRUCTION INC	515 S CAMDEN AVE	FRUITLAND		MD	21826-1216				Y	0		
3838841	3838844		MARYLAND TRANSIT ADMINISTRATION	1515 WASHINGTON BLVD	BALTIMORE		MD	21230				X	0		
3838842	3838845		UNKNOWN	UNKNOWN	UNKNOWN		UK	99999				N	1		
