CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6252215	3743784	1	13	
6252216	3743785	1	13	
6252217	3743786	1	1	
6252218	3743786	2	2	
6252219	3743787	1	8	
6252220	3743787	2	1	
6252221	3743787	3	1	
6252222	3743788	1	2	
6252223	3743789	1	13	
6252224	3743790	1	13	
6252225	3743791	1	13	
6252226	3743792	1	13	
6252227	3743793	1	13	
6252228	3743794	1	13	
6252229	3743795	1	13	
6252230	3743796	1	13	
6252231	3743797	1	13	
6252233	3743799	1	13	
6252234	3743800	1	13	
6252235	3743801	1	2	
6252236	3743801	2	13	
6252237	3743802	1	13	
6252238	3743803	1	13	
6252239	3743804	1	14	
6252240	3743805	1	13	
6252241	3743806	1	13	
6252242	3743807	1	13	
6252243	3743808	1	13	
6252244	3743809	1	8	
6252245	3743809	2	5	
6252246	3743809	3	3	
6252247	3743810	1	18	
6252248	3743811	1	13	
6252249	3743811	2	13	
6252250	3743812	1	13	
6252251	3743813	1	13	
6252252	3743814	1	13	
6252253	3743815	1	13	
6252254	3743816	1	13	
6252255	3743817	1	13	
6252256	3743818	1	6	
6252258	3743820	1	13	
6252259	3743821	1	13	
6252260	3743822	1	13	
6252261	3743823	1	3	
6252262	3742190	1	13	
6247695	3741064	1	13	
6247698	3741067	1	13	
6247699	3741068	1	14	
6247700	3741069	1	12	
6247701	3741070	1	98	Right Turn
6247702	3741070	2	13	
6247705	3741072	1	13	
6247706	3741073	1	13	
6247707	3741074	1	13	
6247708	3741075	1	13	
6247709	3741076	1	13	
6247710	3741076	2	2	
6247711	3741077	1	13	
6247712	3741077	2	2	
6247713	3741078	1	13	
6200035	3713832	1	13	
6205301	3716488	4	18	
6205316	3716491	1	13	
6200799	3714317	1	13	
6200801	3714319	1	13	
6200802	3714320	1	13	
6201406	3714575	1	17	
6201407	3714576	1	1	
6201408	3714576	2	3	
6211323	3719966	1	13	
6211324	3719967	1	2	
6211325	3719967	2	1	
6211326	3719967	3	3	
6211327	3719968	1	13	
6211328	3719969	1	13	
6211329	3719970	1	1	
6211330	3719970	2	18	
6211331	3719970	3	10	
6211332	3719970	4	10	
6211333	3719971	1	18	
6211334	3719971	2	8	
6211335	3719971	3	18	
6211336	3719971	4	18	
6211337	3719972	1	13	
6211338	3719972	2	10	
6211339	3719972	3	10	
6211340	3719972	4	10	
6211341	3719973	1	10	
6211342	3719973	2	10	
6211343	3719973	3	10	
6211344	3719973	4	10	
6211345	3719974	1	20	
6211346	3719975	1	1	
6211347	3719975	2	18	
6211348	3719976	1	18	
6211359	3719979	1	1	
6211360	3719979	2	98	GUARDRAIL FACE
6211361	3719979	3	98	UTILITY POLE/LIGHT SUPPORT
6211379	3719984	1	1	
6211380	3719984	2	3	
6211381	3719985	1	9	
6211382	3719985	2	3	
6211590	3719494	1	98	OTHER - EXPLAIN IN NARRATIVE
6211591	3719494	2	1	
6211592	3719494	3	3	
6211593	3719495	1	13	
6211594	3719496	1	13	
6211595	3719498	1	13	
6211596	3719499	1	13	
6211597	3720056	1	1	
6211598	3720056	2	18	
6211599	3719500	1	13	
6211600	3719501	1	1	
6211602	3719504	1	13	
6211603	3719505	1	13	
6211604	3719506	1	13	
6211605	3720057	1	98	DITCH
6211606	3720057	2	2	
6211607	3720057	3	3	
6211608	3719507	1	13	
6211609	3719508	1	13	
6211610	3720058	1	13	
6211611	3720058	2	18	
6211612	3720058	3	13	
6211613	3719509	1	13	
6211614	3720059	1	13	
6211615	3720060	1	13	
6211618	3720061	1	18	
6211619	3720061	2	98	OTHER - EXPLAIN IN NARRATIVE
