INSP_CARRIER_ID	INSPECTION_ID	INSP_CARRIER_NAME	INSP_CARRIER_STREET	INSP_CARRIER_CITY	INSP_CARRIER_STATE	INSP_CARRIER_ZIP_CODE	INSP_COLONIA	PREFIX	DOCKET_NUMBER	INSP_INTERSTATE	INSP_CARRIER_STATE_ID
65525730	65526369	POWER EXPRESS LLC	633 VINE ST	HARRISONBURG	VA	22802			18525	Y	
65525734	65526373	IRON MOUNTAIN INFORMATION MANAGEMENT SERVICES INC	1 FEDERAL STREET	BOSTON	MA	02110			830455	Y	
65525735	65526374	LENA'S AUTOMOTIVE LLC	245 A-C EAST BARBER STREET	WINDSOR	CT	06095			0	N	
65525736	65526375	J B HUNT TRANSPORT INC	615 J B HUNT CORPORATE DRIVE	LOWELL	AR	72745			135797	Y	
65525737	65526376	GR INTERIOR SERVICES LLC	64 OAKLAND AVE	EAST HARTFORD	CT	06108			0	N	
65525740	65526379	ENVIRO EXPRESS INC	555 WORDIN AVE	BRIDGEPORT	CT	06605-1806			0	Y	
65525741	65526380	PREMIER GRAPHICS LLC	860 HONEYSPOT ROAD	STRATFORD	CT	06615			0	N	
65525742	65526381	TRANDAFIL INC	2260 SOUTH ST	ELGIN	IL	60123			122791	Y	
65525744	65526383	DAWSON'S BODY SHOP INC	2 SCHUYLER LANE	WATERVLIET	NY	12189			276535	Y	
65525745	65526384	JOHN BURTSCHE LANDSCAPING AND EXCAVATING LLC	1 BRENNER ROAD	WILTON	CT	06897			0	N	
65525748	65526387	NEW HAVEN TRANSPORT LLC	35 EDGEMERE RD	NEW HAVEN	CT	06512			667118	Y	
65525749	65526388	KENDALL LOGGING	143 TEN ROD ROAD	EXETER	RI	02822			0	Y	
65525750	65526389	SCOTT B PIERCE	130 FORT RD	MARS HILL	ME	04758			600914	Y	
65525751	65526390	POULTRY PRODUCTS COMPANY OF NEW ENGLAND LLC	11 BEMIS ROAD	HOOKSETT	NH	03106			213558	Y	
65525752	65526391	POTTLE'S TRANSPORTATION LLC	P O BOX 877	BANGOR	ME	04402			155236	Y	
65525753	65526392	ALL AMERICAN MASONRY AND PAVING LLC	1579 MERIDEN AVE	SOUTHINGTON	CT	06489-4208			0	N	
65525754	65526393	CHAPMAN LUMBER INC	224 WATERTOWN RD	THOMASTON	CT	06787-1612			0	N	
65525755	65526394	STERICYCLE INC	28161 NORTH KEITH DRIVE	LAKE FOREST	IL	60045			0	Y	
65525756	65526395	MARCOS AUTO TRANSPORT INC	112 SOUTH MAIN ST SUIT E&F	MANHEIM	PA	17545			653144	Y	
