part_section_id	part_no	part_no_section	fedviocode	display_value
1789	177	823A	177.823A	177.823(a)
1834	178	337-9C	178.337-9C	178.337-9(c)
1836	178	338-10C	178.338-10C	178.338-10(c)
1846	178	338-13	178.338-13	178.338-13
1848	178	338-18A	178.338-18A	178.338-18(a)
1852	178	338-8	178.338-8	178.338-8
1889	178	345-1I2	178.345-1I2	178.345-1(i)(2)
1892	178	345-5E	178.345-5E	178.345-5(e)
2178	173	315A	173.315A	173.315(a)
2200	173	245-4	178.245-4	173.32(c)(2)
2220	173	270-4	178.270-4	173.32(c)(2)
2224	180	336-10	178.336-10	180.405(c)
2225	180	336-13	178.336-13	180.405(c)
2226	180	336-17	178.336-17	180.405(c)
2231	178	337-10A	178.337-10A	178.337-10(a)
2247	178	337-17A	178.337-17A	178.337-17(a)
2249	178	337-8A2	178.337-8A2	178.337-8(a)(2)
2868	177	817B	177.817B	177.817(b)
2909	393	75C	393.75C	393.75(c)
3020	172	328B	172.328B	172.328(b)
3075	177	817A	177.817A	177.817(a)
3363	177	817E	177.817E	177.817(e)
3524	385	13(d)	385.13D	385.13(d)
3528	386	83(c)	386.83C	386.83(c)
3530	386	84(a)(1)	386.84A1	386.84(a)(1)
3532	390	35	390.35	390.35
3534	393	106(d)	393.106D	393.106(d)
3536	393	110	393.110	393.110
3538	393	112	393.112	393.112
3540	393	114	393.114	393.114
3542	393	116	393.116	393.116
3544	393	118	393.118	393.118
3546	393	120	393.120	393.120
3548	393	122	393.122	393.122
3550	393	124	393.124	393.124
3552	393	126	393.126	393.126
3554	393	128	393.128	393.128
3556	393	130	393.130	393.130
3558	393	132	393.132	393.132
3560	393	134	393.134	393.134
3562	393	136	393.136	393.136
3564	395	1H1	395.1H1	395.1(h)(1)
3572	395	3(a)(1)	395.3A1/R	395.3(a)(1)
3574	395	3(a)(2)	395.3A2/R	395.3(a)(2)
3576	395	3(b)	395.3B/R	395.3(b)
3580	395	5(a)(1)	395.5A1	
3582	395	5(a)(2)	395.5A2	395.5(a)(2)
8487	391	45(b)	391.45B	391.45(b)
8488	107	620(b)	107.620B	107.620(b)
8489	172	201(a)(2)	172.201A2	172.201(a)(2)
8490	172	201(a)(3)	172.201A3	172.201(a)(3)
8491	171	2(b)	171.2B	171.2(b)
8493	393	209(d)	393.209D	393.209(d)
8494	393	75A	393.75A	393.75(a)
8495	393	42	393.42	393.42
8496	392	2	392.2	392.2
8497	393	83(g)	393.83G	393.83(g)
8583	171	12a(b)	171.12AB	171.12a(b)
8585	171	2(a)	171.2A	171.2(a)
8586	172	200(a)	172.200A	172.200(a)
8587	172	201(a)(1)	172.201A1	172.201(a)(1)
8588	172	201(a)(4)	172.201A4	172.201(a)(4)
8589	172	201(c)	172.201C	172.201(c)
8590	172	201(d)	172.201D	172.201(d)
8591	172	202(a)(1)	172.202A1	172.202(a)(1)
8592	172	202(a)(2)	172.202A2	172.202(a)(2)
8593	172	202(a)(3)	172.202A3	172.202(a)(3)
8594	172	202(a)(4)	172.202A4	172.202(a)(4)
8595	172	202(a)(5)	172.202A5	172.202(a)(5)
8596	172	202(b)	172.202B	172.202(b)
8597	172	202(c)	172.202C	172.202(c)
8599	172	203(a)	172.203A	172.203(a)
8600	172	203(b)	172.203B	172.203(b)
8601	172	203(c)(1)	172.203C1	172.203(c)(1)
8602	172	203(c)(2)	172.203C2	172.203(c)(2)
8603	172	203(d)(1)	172.203D1	172.203(d)(1)
8604	172	203(d)(10)	172.203D10	172.203(d)(10)
8606	172	203(d)(2)	172.203D2	172.203(d)(2)
8607	172	203(d)(3)	172.203D3	172.203(d)(3)
8608	172	203(d)(4)	172.203D4	172.203(d)(4)
8609	172	203(d)(5)	172.203D5	172.203(d)(5)
8610	172	203(d)(6)	172.203D6	172.203(d)(6)
8616	172	203(h)(2)	172.203H2	172.203(h)(2)
8617	172	203(k)	172.203K	172.203(k)
8619	172	203(m)(3)	172.203M3	172.203(m)(3)
8620	172	203(n)	172.203N	172.203(n)
8622	172	205	172.205	172.205
8624	172	301(b)	172.301B	172.301(b)
8626	172	301(d)	172.301D	172.301(d)
8627	172	302	172.302	172.302
8628	172	302(a)	172.302A	172.302(a)
8629	172	302(b)	172.302B	172.302(b)
8631	172	303(a)	172.303A	172.303(a)
8632	172	304(a)(1)	172.304A1	172.304(a)(1)
8633	172	304(a)(2)	172.304A2	172.304(a)(2)
8634	172	304(a)(3)	172.304A3	172.304(a)(3)
8635	172	304(a)(4)	172.304A4	172.304(a)(4)
8641	172	312(a)	172.312A	172.312(a)
8642	172	312(b)	172.312B	172.312(b)
8643	172	313(a)	172.313A	172.313(a)
8644	172	313(b)	172.313B	172.313(b)
8645	172	316(a)	172.316A	172.316(a)
8646	172	320(a)	172.320A	172.320(a)
8647	172	322(b)	172.322B	172.322(b)
8648	172	324	172.324	172.324
8649	172	325(a)	172.325A	172.325(a)
8651	172	326(a)	172.326A	172.326(a)
8652	172	326(b)	172.326B	172.326(b)
8653	172	326(c)(1)	172.326C1	172.326(c)(1)
8654	172	326(c)(2)	172.326C2	172.326(c)(2)
8655	172	328(a)	172.328A	172.328(a)
8657	172	328(c)	172.328C	172.328(c)
8658	172	330(a)(2)	172.330A2	172.330(a)(2)
8659	172	330(b)	172.330B	172.330(b)
8660	172	331	172.331	172.331
8661	172	332	172.332	172.332
8662	172	334	172.334	172.334
8663	172	338	172.338	172.338
8664	172	400(a)	172.400A	172.400(a)
8665	172	401	172.401	172.401
8666	172	402(a)	172.402A	172.402(a)
8667	172	402(b)	172.402B	172.402(b)
8670	172	403(a)	172.403A	172.403(a)
8671	172	403(f)	172.403F	172.403(f)
8672	172	403(g)	172.403G	172.403(g)
8673	172	404(a)	172.404A	172.404(a)
8674	172	404(b)	172.404B	172.404(b)
8675	172	406(a)(1)	172.406A1	172.406(a)(1)
8676	172	406(c)	172.406C	172.406(c)
8677	172	406(d)	172.406D	172.406(d)
8678	172	406(e)	172.406E	172.406(e)
8679	172	406(f)	172.406F	172.406(f)
8680	172	502(a)(1)	172.502A1	172.502(a)(1)
8681	172	502(a)(2)	172.502A2	172.502(a)(2)
8682	172	504(a)	172.504A	172.504(a)
8683	172	504(b)	172.504B	172.504(b)
8684	172	505(a)	172.505A	172.505(a)
8685	172	505(b)	172.505B	172.505(b)
8686	172	505(c)	172.505C	172.505(c)
8687	172	506(a)	172.506A	172.506(a)
9172	393	9(a)	393.9	393.9(a)
9173	393	90	393.90	393.90
9174	393	91	393.91	393.91
9176	393	93(a)	393.93A	393.93(a)
9177	393	93(b)	393.93B	393.93(b)
9178	393	95(a)	393.95A	393.95(a)
9180	393	95(f)	393.95F	393.95(f)
9181	393	95(g)	393.95G	393.95(g)
9182	393	9(a)	393.9H	393.9(a)
9183	393	9(a)	393.9T	393.9(a)
9184	395	13(d)	395.13D	395.13(d)
9185	395	15B	395.15B	395.15(b)
9186	395	15(c)	395.15C	395.15(c)
9188	395	15G	395.15G	395.15(g)
9189	395	15I5	395.15I5	395.15(i)(5)
9194	395	8	395.8	395.8
9197	395	8(f)(1)	395.8F1	395.8(f)(1)
9198	395	8K2	395.8K2	395.8(k)(2)
9199	396	1	396.1	396.1
9200	396	11	396.11	396.11
9201	396	13(c)	396.13C	396.13(c)
9202	396	17(c)	396.17C	396.17(c)
9203	396	3(a)(1)	396.3A1	396.3(a)(1)
9204	396	3(a)(1)	396.3A1B	396.3(a)(1)
9205	396	3(a)(1)	396.3A1BA	396.3(a)(1)
