INSP_STUDY_ID	INSPECTION_ID	STUDY	SEQ_NO
16400889	65526376	SB	1
16400890	65526381	SB	1
16400896	65526393	SB	1
16400899	65526400	SB	1
16400902	65526405	SB	1
16400918	65526445	SB/DD	1
16400920	65526447	SB	1
16400932	65527459	GAS2019	1
16401079	65529575	2019-02	1
16401080	65529576	2019-02	1
16401081	65529587	2019-02	1
16401088	65530981	3206	1
16401089	65530982	3206	1
16401090	65530983	3206	1
16401091	65530983	UT	2
16401092	65530984	3206	1
16401093	65530984	UT	2
16401094	65530985	3206	1
16401095	65530985	UT	2
16401096	65530986	3206	1
16401097	65530986	UT	2
16401098	65530987	3206	1
16401099	65530987	UT	2
16401100	65531049	3206	1
16401101	65531054	3206	1
16401117	65532654	I	1
16401138	65540645	SB	1
16401145	65540651	SB	1
16401152	65540657	ICE MISSILE	1
16401153	65540658	SPEED	1
16401158	65540667	SB	1
16401163	65540678	SB	1
16401165	65540684	SB	1
16401166	65540685	SB	1
16401168	65540689	SB	1
16401169	65540690	SB	1
16401170	65540691	SB	1
16401172	65540694	SB	1
16401176	65540699	SB	1
16401177	65540700	SB	1
16401183	65540714	CELL PHONE	1
16401184	65540716	SB	1
16401187	65540729	SB	1
16401190	65540735	SB	1
16401191	65540736	SB	1
16401192	65540737	SB	1
16401193	65540738	SB	1
16401195	65540741	SB	1
16401196	65540742	SB	1
16401198	65540746	SB	1
16401645	65542303	MEC CHECK CONFIRMED	7
16401648	65542567	TPK18	3
16401649	65542568	TPK18	3
16401650	65542569	TPK18	3
16401677	65527786	BASIC	10
16401678	65527787	BASIC	10
16401679	65527803	BASIC	10
16401680	65543711	BASIC	10
16401682	65543721	BASIC	10
16401683	65543722	BASIC	10
16401684	65543723	BASIC	10
16401685	65543724	BASIC	10
16401688	65543732	BASIC	10
16401689	65543733	BASIC	10
16401697	65543744	BASIC	10
16401701	65527825	BASIC	10
16401702	65527826	BASIC	10
16401706	65527843	BASIC	10
16401707	65527844	BASIC	10
16401708	65527845	BASIC	1
16401709	65543774	BASIC	1
16401714	65543785	BASIC	1
16401715	65543786	BASIC	1
16401716	65543787	BASIC	1
16401717	65543788	BASIC	10
16401718	65543791	BASIC	10
16401719	65543792	BASIC	10
16401722	65527846	BASIC	10
16401725	65543820	BASIC	10
16401727	65543823	BASIC	10
16401728	65543824	BASIC	10
16401729	65543825	BASIC	10
16401733	65543834	BASIC	10
16401735	65543836	BASIC	10
16401740	65527784	BASIC	10
16401741	65527785	BASIC	10
16401790	65543969	BASIC	10
16401839	65544836	MEC CHECK-NO CONTACT	7
16401840	65544928	YES	1
16401841	65544928	YES	2
16401844	65545202	MEC CHECK-NO CONTACT	7
16401853	65545423	MEC CHECK-NO CONTACT	7
16401854	65545437	YES	1
16401855	65545437	YES	2
16401858	65545496	MEC CHECK-CONFIRMED	7
16401859	65545569	YES	1
16401860	65545569	YES	2
16401867	65545810	YES	1
16401868	65545810	YES	2
16401903	65548857	I	1
16401904	65548858	I	1
16401905	65548859	I	1
16401906	65548864	I	1
16401907	65548865	I	1
16401908	65548882	I	1
16401909	65548883	I	1
16401910	65548891	NEW ENTRANT	2
16401911	65548895	I	1
16401914	65548908	I	1
16401917	65548915	I	1
16401918	65548916	I	1
16401920	65548921	I	1
16401921	65548926	I	1
16401923	65548929	I	1
16401925	65548951	I	1
16401926	65548952	I	1
16401928	65549172	OIL FIELD	6
16401952	65555135	SB	1
16401953	65555141	SB	1
16401956	65555144	SPEED	1
16401957	65555145	SB	1
16401959	65555148	SB	1
16401968	65555159	SB	1
16401977	65555189	MEDICAL CARD CONFIRMED	7
16401978	65555198	MEDICAL CARD CONFIRMED	7
16401980	65555201	MEDICAL CARD CONFIRMED	7
16401981	65555206	MEDICAL CARD CONFIRMED	7
16401985	65555714	T198	1
16401986	65555715	T198	1
16401987	65555716	T198	1
16401988	65555717	T198	1
16401990	65555720	T198	1
