Insp_Violation_ID	Supp_Desc
222025872	Violation was observed 91 S/B x37.
222025901	CMV allowed 25,950 lbs per registration and door tag.  Scale weight 30140lbs, 4190 lbs overweight or 16.1%
222025902	Axle 1, steer axle allowed 10,000 lbs per door tag, scale weight 12.040 lbs, 2040 lbs overweight
222025948	This driver was operating a CMV tractor-trailer in the restricted left lane on I-84 traveling westbound passing exit 63. A violation of CGS 14-230a.
222025982	2nd axle right side
222026029	no tail lamps
222026030	5th right inner tire 0/120psi
222026032	AT TIME OF INSPECTION NO WARNING DEVICES/TRIANGLES PRESENT
222026043	Operating a CMV without a CDL on 1/2/2019, COMBINATION OF CMVS BEING OPERATED REQUIRES CLASS "A" CDL - DRIVER ONLY POSSESS CLASS "C" LICENSE
222026092	2nd axle right side tire flat.
222026105	Last update 2/24/2014
222026128	Displaying expired registration plates (12/18)
222026169	Operating semi trailer exceeding max length of 48 feet off Maryland truck route system
222026170	operating semi trailer exceeding max length of 48 feet off Maryland truck route system
222026201	LAST UPDATE 10/22/2015
222026229	RIGHT SIDE TIE ROD END - EXCESSIVE MOVEMENT
222026236	OPERATING A CMV WITHOUT CORRECTIVE LENSES AND HEARING AIDS AS INDICATED ON THE DRIVER'S MEDICAL CERTIFICATE.
222026356	US DOT number not displayed as required
222026357	Failure to attach tags at front and rear
222026358	Driving over max. allowed 102 inches (measured 115 inches wide)
222026363	Failure to carry vehicle registration card
222026364	CDL Restriction 'K' - CDL Intrastate only (GVW of CMV exceeding 26,000 lbs, requiring a Class B CDL or higher).  Vehicle weighed at 27,400 lbs
222026367	Vehicle registered at 26,000 lbs. (apportioned to Maryland), but weighed at 27,400 lbs.
222026370	Fire extinguisher discharged
222026371	Tag lamp missing
222026380	1 of 3 front ID lights, Left front clearance light
222026406	FRONT LEFT CLEARANCE LAMP MISSING LENS
222026407	FRONT RIGHT HAZARD LAMP AND FRONT RIGHT TURN SIGNAL INOPERABLE
222026438	TA 13-401(b1) Operating unregistered motor vehicle.
222026440	Right turn signal inoperative.
222026442	Breakaway device battery not charged, attached to safety chains not power unit.
222026446	Right side high beam inoperable
222026458	Yard waste not cleaned from tailboard
222026459	Does not hold in "Low 1"
222026461	Unsecure/Empty
222026462	No Proof of Federal Annual Inspection or Accepted Annual Program in Possession
222026463	No Markings
222026465	MD5054000116 (8/8/18 ) Mud Flaps, Annual Inspection
222026504	NO WINDSHIELD WASHER FLUID IN VEHICLE FOR WINDSHIELD WIPERS TO SPRAY FLUID.
222026507	Seat belt fastened.  Waist belt behind operator's back.  Operator had shoulder strap in front of him.
222026508	1/1/19 @ 0707 hours.  S/B I-495 S/O Rt 50 in PG County
222026527	LARGE ENGINE OIL LEAK
222026564	No company name or DOT number displayed
