INSP_UNIT_ID	INSPECTION_ID	INSP_UNIT_TYPE_ID	INSP_UNIT_NUMBER	INSP_UNIT_MAKE	INSP_UNIT_COMPANY	INSP_UNIT_LICENSE	INSP_UNIT_LICENSE_STATE	INSP_UNIT_VEHICLE_ID_NUMBER	INSP_UNIT_DECAL	INSP_UNIT_DECAL_NUMBER
166873999	65526373	10	1	FRHT		K059706	TX	1FVACXDT7FHGA0522	N	
166874000	65526374	10	1	HINO		AE64914	CT	5PVNJ8JN282S50111	N	
166874002	65526376	10	1	HINO		AE25252	CT	5PVNJ8JVXJ4S67202	N	
166874008	65526381	10	1	FRHT		71767	RI	3ALACWDT3EDFV6571	N	
166874039	65526393	10	1	FRHT	212446	63503A	CT	1FVHG3DV0KHKE9196	N	
166874046	65526397	1	1	ICRP	2744	AE14044	CT	4DRBVAAN98A490286	Y	26737853
166874051	65526400	10	1	HINO		81121MJ	NY	JHHSDM2H0HK005347	N	
166874058	65526405	10	1	INTL		AE30077	CT	1HTMMMML6KH381376	N	
166874080	65526417	11	1	FRHT		2674235	IN	1FUJGBDV1DLFG7198	N	
166874081	65526417	9	2	STOU		P508222	IN	1DW1A4825CS315202	N	
166874083	65526419	10	1	MACK		L13689	CT	2M2N185Y4EC087171	N	
166874099	65526428	11	1	DODG		89022MH	NY	3C63RRGLXJG241415	N	
166874100	65526428	9	2	TRLR		BR7945	NY	5VGFW5027KL000619	N	
166874101	65526429	10	1	HINO		AE21601	CT	5PVNE8JT9A4S53360	N	
166874106	65526432	10	1	FRHT		S34874	MA	3ALACWDT8GDHN8129	N	
166874108	65526434	10	1	FRHT		94829	MA	3LACXDT4GDHE6996	N	
166874109	65526435	10	1	INTL	C33	39566A	CT	1HTMKAAN55H105737	N	
166874124	65526445	11	1	KW	920	2121299	IN	1XKZD48X0KJ220020	N	
166874125	65526445	9	2	TRLR	6839	Z81937	IN	2TLSL43276B001839	N	
166874128	65526447	10	1	HINO		AE50271	CT	5PVNJ8JV2K4S70760	N	
166874150	65526465	11	1	KNW	2275	2138519	IN	1XKYDP9X8HJ165496	N	
166874151	65526465	9	2	MTCI	4325	SP127JJJ	IN	1M9PT9A29BH365096	N	
166874152	65526466	11	1	FRHT	464	823F29	MD	1FUJGEBG9GLHD0612	N	
166874153	65526466	9	2	BREN	533	B460599	ME	10BFB5232DF0C8678	N	
166874154	65526467	11	1	FRHT		AG81615	PA	1FUJGLBG7CSBU3026	N	
166874157	65526469	11	1	FRHT		896F25	MD	1FUJF0CV66DU08765	N	
166874158	65526470	10	1	MACK		236ED34	MD	1M2AX13C9CM015830	N	
166874159	65526471	10	1	INTL	785	E51963D	MD	2HSFRAMR7YC048248	N	
166874165	65526474	10	1	FRHT	G7083	67605P	VA	1FVMG3DV2KHKG7083	N	
166874172	65526477	11	1	VOLV	284	AG31776	PA	4V4NC9EHXGN940128	Y	26773655
166874173	65526477	9	2	WANC		PT9761Y	PA	1JJV532D2FL881985	Y	26773656
166874174	65526478	10	1	DODG		ZJW7169	PA	3C7WR9CJ2HG655313	Y	26773659
166874175	65526478	9	2	OTHR		XKG9075	PA	5WKGE4035H1044979	Y	26773660
166874181	65526480	11	1	VOLV	218	XP39356	CA	4V4NC9EH6KN873598	Y	26773653
