INSP_VIOLATION_ID	INSPECTION_ID	SEQ_NO	PART_NO	PART_NO_SECTION	INSP_VIOL_UNIT	INSP_UNIT_ID	INSP_VIOLATION_CATEGORY_ID	OUT_OF_SERVICE_INDICATOR	DEFECT_VERIFICATION_ID	CITATION_NUMBER	PART_SECTION_ID
222025671	65526374	1	392	16	D		11	N	3		9386
222025673	65526376	1	392	16	D		11	N	3		9386
222025700	65526381	1	392	2MI	D		14	N	3	Y966814-0	385703
222025701	65526381	2	391	41(a)	D		1	N	3		9377
222025773	65526393	1	392	16	D		11	N	3	Y966815-1	9386
222025803	65526405	1	392	16	D		11	N	3	Y966792-6	9386
222025804	65526405	2	392	16B	D		11	N	3		396396
222025872	65526417	1	392	16	D		11	N	3		9386
222025900	65526428	1	392	2IRP	2	166874100	30	N	3		385701
222025901	65526429	1	392	2	1	166874101	47	N	3	Y573757-0	390281
222025902	65526429	2	392	2-SLLEWA1	1	166874101	47	N	3	Y573757-0	390260
222025904	65526432	1	392	16	D		11	N	3		9386
222025948	65526445	1	392	2LV	D		14	N	3	Y966819-5	385702
222025950	65526447	1	392	2DL	D		14	N	3		385698
222025982	65526470	1	393	47(e)	1	166874158	15	N	3		257965
222025983	65526470	2	393	53(b)	1	166874158	16	N	3		385681
222025984	65526470	3	393	47(e)	1	166874158	15	N	3		257965
222025985	65526470	4	396	3(a)(1)	1	166874158	15	Y	99		383183
222026013	65526480	1	395	22(h)(4)	D		7	N	3		396422
222026014	65526480	2	395	22(h)(2)	D		7	N	3		396436
222026020	65526488	1	391	41(a)	D		1	N	3		9377
222026028	65526492	1	393	9(a)	1	166874203	20	N	3		9172
222026029	65526492	2	393	9(a)	2	166874204	20	Y	99		9183
222026030	65526492	3	393	75A	2	166874204	23	Y	99		8494
222026032	65526494	1	393	95(f)	1	166874207	28	N	3		9180
222026039	65526495	1	393	100(a)	2	166874214	25	Y	1		9417
222026040	65526496	1	393	9(a)	2	166874216	20	N	3		9172
222026041	65526496	2	393	75(f)	2	166874216	23	Y	99	46J0DLJ	9340
222026042	65526496	3	392	2-SLLEWA1	D		47	N	3	46H0DLJ	390260
222026043	65526496	4	383	23(a)(2)	D		14	Y	3		9547
222026044	65526496	5	393	23	2	166874216	20	Y	1	46K0DLJ	396337
222026050	65526500	1	392	2-SLLS3	D		45	N	3		390248
222026055	65526504	1	392	2-SLLEWA1	D		47	N	3	05B0TRD	390260
222026057	65526508	1	391	41(a)-FPC	D		1	Y	3		393833
222026058	65526508	2	390	21(b)	1	166874242	30	N	3		9426
222026059	65526508	3	393	95(a)	1	166874242	28	N	3		9178
222026092	65526526	1	393	75A	1	166874274	23	Y	99		8494
222026093	65526527	1	393	24(a)	1	166874275	20	N	3		257953
222026094	65526527	2	393	9(a)	1	166874275	20	N	3		9172
222026095	65526527	3	391	45(b)	D		1	Y	3	65X0ASN	8487
222026104	65526532	1	392	9b(a)	1	166874283	30	Y	99	5N00HBZ	396081
222026105	65526532	2	390	19(a)(1)	1	166874283	30	N	3		393823
222026128	65526549	1	392	2RG	1	166874309	30	N	3		385705
222026132	65526557	1	393	23	2	166874318	20	Y	99		396337
222026169	65526576	1	392	2DIM	2	166874349	30	N	3		385697
222026170	65526577	1	392	2DIM	2	166874351	30	N	3		385697
222026171	65526577	2	393	60(c)	2	166874351	26	N	3		257571
222026198	65526590	1	392	2	D		14	N	3		8496
222026199	65526590	2	391	41(a)-F	D		1	N	3		393832
222026200	65526590	3	392	9b(a)	1	166874381	30	N	3		396080
222026201	65526591	1	390	19(a)(1)	1	166874382	30	N	3		393823
