INSP_VIOL_SHIPPER_ID	INSP_VIOLATION_ID	SHIPPER_NAME	SHIPPER_STREET	SHIPPER_CITY	SHIPPER_STATE	SHIPPER_ZIP_CODE	SHIPPER_FIRST_BYTE	SHIPPER_DOT_NUMBER	PART_NO	PART_NO_SECTION	PART_SECTION_ID
293272	222036536	M C TANK TRANSPORT INC	10134 MOSTELLER LANE	WEST CHESTER	OH	45069		81405	172	516(c)(6)	9576
293274	222038359	PITT OHIO EXPRESS LLC	15 27TH STREET	PITTSBURGH	PA	15222		190180	172	202(a)(3)	8593
293283	222054703	SUBURBAN PROPANE LP	240 ROUTE 10 WEST	WHIPPANY	NJ	07981		214695	173	315(n)(3)	396319
293287	222057391	VAN VARICK AND SONS, INC.	1067 RTE 23	WAYNE	NJ	07470			172	201(d)	8590
293294	222058017	UNIVAR USA INC	PO BOX 34325	SEATTLE	WA	98124-1325		28633	172	202(a)(1)	8591
293305	222065376	CENTRAL CRUDE INC	PO BOX 1863	LAKE CHARLES	LA	70602		128964	172	328(d)	263071
293307	222070079	MARTEN TRANSPORT LTD	129 MARTEN STREET	MONDOVI	WI	54755		74432	172	600(c)	9579
293311	222071932	ALOHA TRANS GROUP INC	1217 S OLD WILKE RD #402	ARLINGTON HEIGHTS	IL	60005		2572684	172	504(a)	8682
293313	222074243	IM FLASH TECHNOLOGIES	4000 N FLASH DR	LEHI	UT	84043			172	301(a)(1)	385686
293321	222077865	RIDGWAY INDUSTRIES INC	PO BOX  660	DARBY	PA	19023		524367	172	201(a)(1)	8587
293322	222083961	PFG TRANSCO INC	245 NORTH CASTLE HEIGHTS AVENUE	LEBANON	TN	37087		35568	172	201(a)(1)	8587
293325	222087533	ELVIN BAUTISTA	8422 FREEDOM COURT	COLUMBIA	MD	21045		2641732	173	24(b)(1)	9589
293327	222088645	ADVANCE SCALE COMPANY INC	2400 EGG HARBOR RD	LIINDENWOLD	NJ	08021		536286	172	201(d)	8590
293328	222088674	ROMEO ENTERPRISES INC	1600 RAILROAD AVENUE	HOLBROOK	NY	11741		2429959	172	328(d)	263071
293329	222089569	ASHBY TRUCKING CORP	99 BEECHWOOD AVE	NEW ROCHELLE	NY	10801		1652897	172	516(c)(2)	9573
293342	222101693	EBY TRANSPORT INC	22762 GREENLEAF BLVD	ELKHART	IN	46514		728836	172	303(a)	8631
293343	222102103	JABU CO	1614 LEONARD ST NW	GRAND RAPIDS	MI	49504		2104693	172	202(a)(4)	8594
293351	222112648	ROADRUNNER TRANSPORTATION SERVICES INC	4900 SOUTH PENNSYLVANIA AVENUE	CUDAHY	WI	53110		242009	172	502(a)(1)	8680
293352	222113573	BEST ENERGY LLC	4 MECHANIC ST	PAWCATUCK	CT	06379		509165	172	202(b)	8596
293355	222114462	SOPUS	520 ALLENS AVE	PROVIDENCE	RI	01605			172	201(a)(4)	8588
293363	222118927	LUCAS CONSTRUCTION GROUP INC	173 AMBOY ROAD	MORGANVILLE	NJ	07751		1522737	172	328(d)	263071
293364	222118962	LINDE GAS NORTH AMERICA LLC	200 SOMERSET CORPORATE BLVD  S	BRIDGEWATER	NJ	08807		107740	172	202(a)(5)	8595
293366	222120981	SUPERIOR BULK LOGISTICS INC	711 JORIE BOULEVARD SUITE 101 N	OAK BROOK	IL	60523		834726	172	328(d)	263071
293374	222126593	HUGHES BROTHERS CONSTRUCTION INC	948 WALKER RD	WILDWOOD	FL	34785		2330812	172	516(c)(6)	9576
293403	222143056	UNIVAR USA	10889 BEKAY STREET	DALLAS	TX	75238			172	202(a)(3)	8593
293404	222143100	WOOLDRIDGE OIL COMPANY	1315 NW HIGHWAY 270	WILBURTON	OK	74578		230539	172	202(a)(3)	8593
293405	222143188	FULLERTON HYDRO-TEST	25318 S HW 88	INOLA	OK	74036		1031390	172	202(a)(1)	8591
293408	222145866	KDC TOWER LLC	17311 S WHEATLAND DR	BELTON	MO	64012		2197865	172	200(a)	8586
293409	222146171	MIES CONSTRUCTION INC	1919 SW BOULEVARD	WICHITA	KS	67213		999708	172	516(a)	9571
293410	222146504	RUSSELL A PIKUS	5635 NE RIVER RD	SAUK RAPIDS	MN	56379		600293	172	516(c)(6)	9576
293411	222146600	WAYNE TRANSPORTS INC	14345 CONLEY AVENUE	ROSEMOUNT	MN	55068-4441		166179	172	332C	10085
293412	222146717	MARK CHUPP	448 E HOFFMAN	PAYNESVILLE	MN	56362		1627834	172	504(a)	8682
293415	222148313	AXALTA CORPORATION	1717 ENGLISH RD. HIGH POINT	HIGH POINT	NC	27262			172	201(a)(2)	8489
293417	222148801	EMD PERFORMANCE MATERIALS CORP	1429 HILLDALE AVE	HAVERHILL	MA	01832			172	504(a)	8682
293418	222148806	ALLEN FLAVORS INC	220 ST. NICHOLAS AVE	SOUTH PLAINFIELD	NJ	07080			172	202(a)(3)	8593
293426	222158771	GREEN PETROLEUM LLC	7508 OLD ALEXANDRIA FERRY RD	CLINTON	MD	20735		887300	172	202(a)(5)	8595
293431	222160777	AIRGAS USA LLC	31 N PEORIA AVENUE	TULSA	OK	74120		299712	172	516(c)(6)	9576
293438	222169156	MARKWELL PAVING COMPANY	1020 SW 21ST STREET	OKLAHOMA CITY	OK	73108		682285	172	600(c)	9579
293444	222171556	DMV FARMS LLC	621 SE 208TH ST	HOLT	MO	64048		1881766	172	600(c)	9579
293445	222172359	FINSTER COURIER INC	9201 RIVER ROAD	PENNSAUKEN	NJ	08110		751209	172	516(c)(6)	9576
293448	222174141	PHILLIPS 66 COMPANY	2331 CITYWEST BLVD	HOUSTON	TX	77042			172	516(c)(6)	9576
293449	222174295	BIO LAB	820 S VINTAGE AVE	ONTARIO	CA	91761			172	504(a)	8682
293454	222186937	SO CAL PETROLEUM TRANSPORT INC	601 S HUNTS LANE	COLTON	CA	92324		1151662	172	600(c)	9579
293456	222190216	DIXFIELD DISCOUNT FUEL INC	1180 ROUTE 2 SUITE 6	RUMFORD	ME	04276		1262005	172	516(c)(6)	9576
293457	222190526	ARIBA OIL CO	507 CHANCELLOR AVE	IRVINGTON	NJ	07111-4002		2891758	172	516(c)(6)	9576
293459	222190646	GLENN R HAVILAND	1878 JACKSONVILLE JOBSTOWN ROAD	COLUMBUS	NJ	08022		1866395	172	516(c)(2)	9573
293460	222190695	ROYAL CARBONICS GAS INC	71 MAIN STREET	BUTLER	NJ	07405			172	516(a)	9571
293461	222190721	KP EXCAVATION LLC	570 COMMERCE BLVD UNIT B	CARLSTADT	NJ	07072-3013		2891224	172	600(c)	9579
293463	222190737	ADVANCED DRILLING INC	235 VAN SYCKELS ROAD	HAMPTON	NJ	08827		596281	172	504(a)	8682
293468	222192441	SWISSPORT USA INC	998167	MIAMI	FL	33299-8167		1793325	172	504(a)	8682
293469	222192445	AMERIJET INTERNATIONAL INC	2800 S ANDREWS AVENUE	FT LAUDERDALE	FL	33316-4031		510718	172	600(c)	9579
293491	222209316	BALLARD INC	5511 PENNEBAKER AVE	BARDSTOWN	KY	40004		285335	172	328(d)	263071
293494	222210068	INTERATLAS CHEMICAL INC	320 ELIZABETH AVE	NEWARK	NJ	07112			172	506(a)(1)	9635
293495	222210131	CSI	3751 JENNINGS RD	CLEVELAND	OH	44109			172	506(a)(1)	9635
293496	222210154	7013990 CANADA INC	367 SPEEDVALE AVE WEST	GUELPH	ON	N1H 1C7		2124965	172	516(c)(6)	9576
293497	222210228	OKUNO INTERNATIONAL CORP	521 ANN ST	GRAND RAPIDS	MI	49504			172	600(c)	9579
293498	222210780	FLINT WELDING SUPPLY	2201 BRANCH RD	FLINT		48506		548529	172	600(c)	9579
293500	222212404	EA LOGISTICS INC	1609 RIDGEWOOD AVE	LAKEWOOD	OH	44107		3044816	172	502(a)(1)	8680
293502	222212519	EVONIK CYRO LLC C/O HOOSIER WAREHOUSE LINTECH INT'L							171	2(a)	8585
293506	222214103	SYNERGY COMMUNITY COOPERATIVE	229 RAILROAD ST BOX 155	RIDGELAND	WI	54763		644895	172	200(a)	8586
293507	222214233	TAG TRANS INC	7701 S GRANT STREET SUITE D	BURR RIDGE	IL	60527		2266661	172	502(a)(2)	8681
293509	222228853	STERICYCLE SPECIALTY WASTE SOLUTIONS INC	2850 100TH COURT NE	BLAINE	MN	55449		1348411	172	205	8622
293510	222228896	FERRATEX	1620 GREENPOND RD	NEWFOUNDLAND	NJ	07435			172	202(b)	8596
293513	222228935	NEW BERN TRANSPORT CORPORATION	1111 WESTCHESTER AVENUE	WHITE PLAINS	NY	10604		692947	172	600(c)	9579
293519	222234234	HUB GROUP TRUCKING INC	5660 UNIVERSAL DRIVE	MEMPHIS	TN	38118		1454112	172	516(c)(6)	9576
293520	222235337	INTEL SEMICONDUCTOR LTD	NO 109 EAST HUAIHE RD	LIAONING PROVINCE	OT	UNKNOWN		1576003	177	823A	1789
293521	222237765	SHORES OIL COMPANY	P O BOX 147	MODOC	IN	47358-0147		587575	172	202(b)	8596
293522	222237988	K AND R GAS SERVICES LLC	1637 W LANCASTER ST	BLUFFTON	IN	46714		1243394	172	202(b)	8596
293523	222238647	JOURNEY TRANSPORT LLC	337 W ETHEL AVE	LOMBARD	IL	60148		2513047	172	504(a)	8682
293524	222239458	PRAIRIELAND FS INC	1132 VETERANS DRIVE	JACKSONVILLE	IL	62650		1558531	172	516(c)(6)	9576
293526	222240998	JUSTIN MILLER LLC	9096 LAWNDELL RD.	NAVARRE	OH	44662		2846043	172	502(a)(1)	8680
293527	222241065	ENERGY TRANSFER-GALAXY	253 W ELDORADO RD	PARKER	PA	16049			172	203(k)	8617
